overfitting,train_accuracy,test_accuracy,n_estimators,max_depth,max_features,min_samples_leaf
0.2780944207453029,0.9682678311499272,0.6901734104046243,200,5,91,1
0.2827439398911241,0.9717612809315866,0.6890173410404625,200,5,91,2
0.2931485641685808,0.9717612809315866,0.6786127167630058,200,5,91,3
0.25731041387956355,0.9717612809315866,0.7144508670520231,200,5,183,1
0.26683326181521416,0.9697234352256187,0.7028901734104045,200,5,183,2
0.28190423303127465,0.9755458515283844,0.6936416184971097,200,5,183,3
0.25619641399735815,0.9775836972343523,0.7213872832369942,200,5,274,1
0.2573608972579112,0.9787481804949054,0.7213872832369942,200,5,274,2
0.28017433593322727,0.9761280931586608,0.6959537572254335,200,5,274,3
0.25073242968086085,0.9813682678311499,0.7306358381502891,200,5,366,1
0.24316328848726576,0.9737991266375546,0.7306358381502889,200,5,366,2
0.26659262437842346,0.9764192139737992,0.7098265895953757,200,5,366,3
0.23567828625758303,0.9778748180494905,0.7421965317919075,200,5,457,1
0.2342142682855003,0.975254730713246,0.7410404624277457,200,5,457,2
0.2552978098627692,0.973216885007278,0.7179190751445088,200,5,457,3
0.22642131744789695,0.9767103347889373,0.7502890173410404,200,5,549,1
0.23396521695231853,0.9807860262008734,0.7468208092485549,200,5,549,2
0.23594416538354746,0.9746724890829694,0.738728323699422,200,5,549,3
0.24236565110937236,0.9834061135371179,0.7410404624277456,200,5,640,1
0.23192737124635054,0.9787481804949054,0.7468208092485549,200,5,640,2
0.2348133377085594,0.9781659388646288,0.7433526011560694,200,5,640,3
0.23107925049010947,0.9813682678311499,0.7502890173410405,200,5,732,1
0.2385979083053571,0.9819505094614265,0.7433526011560694,200,5,732,2
0.23395680305592736,0.9796215429403203,0.745664739884393,200,5,732,3
0.24209135808701654,0.9854439592430859,0.7433526011560694,200,5,823,1
0.23539557933883593,0.9787481804949053,0.7433526011560694,200,5,823,2
0.23946285685438085,0.9816593886462883,0.7421965317919075,200,5,823,3
0.24236565110937236,0.9834061135371179,0.7410404624277456,200,5,915,1
0.23396521695231853,0.9807860262008734,0.7468208092485549,200,5,915,2
0.24377077180671602,0.9778748180494906,0.7341040462427746,200,5,915,3
0.2866967884157474,0.9988355167394468,0.7121387283236994,200,6,91,1
0.2967934640852834,0.9962154294032024,0.699421965317919,200,6,91,2
0.2979158778638801,0.9915574963609899,0.6936416184971098,200,6,91,3
0.26935574795331974,0.9988355167394468,0.7294797687861271,200,6,183,1
0.26587912596444285,0.9976710334788936,0.7317919075144508,200,6,183,2
0.28811032300948236,0.9944687045123726,0.7063583815028902,200,6,183,3
0.2670520231213873,1.0,0.7329479768786127,200,6,274,1
0.2603983138551632,0.9991266375545852,0.738728323699422,200,6,274,2
0.27887018199257874,0.9956331877729256,0.7167630057803469,200,6,274,3
0.24710772311549745,0.9997088791848616,0.7526011560693642,200,6,366,1
0.24508670520231202,1.0,0.754913294797688,200,6,366,2
0.26500576351902794,0.9967976710334788,0.7317919075144509,200,6,366,3
0.24046242774566473,1.0,0.7595375722543353,200,6,457,1
0.24334839420787358,0.9994177583697234,0.7560693641618498,200,6,457,2
0.24592641206216193,0.9962154294032024,0.7502890173410405,200,6,457,3
0.23930635838150294,1.0,0.7606936416184971,200,6,549,1
0.23756804738706438,0.9994177583697234,0.761849710982659,200,6,549,2
0.2427493247848147,0.9965065502183407,0.753757225433526,200,6,549,3
0.24161849710982664,1.0,0.7583815028901734,200,6,640,1
0.24046242774566484,1.0,0.7595375722543352,200,6,640,2
0.24418810106772337,0.9956331877729256,0.7514450867052023,200,6,640,3
