Overfitting,train_accuracy,test_accuracy,n_estimator,max_depth,max_feature,min_samples_leaf
0.251297844,0.979621543,0.728323699,200,5,309,2
0.251681517,0.99272198,0.741040462,200,12,206,4
0.251888499,0.981368268,0.729479769,200,5,274,2
0.251972638,0.9930131,0.741040462,200,8,240,4
0.252829173,0.991557496,0.738728324,200,6,206,4
0.253702535,0.992430859,0.738728324,200,11,240,4
0.253702535,0.992430859,0.738728324,200,9,206,4
0.254500172,0.982823872,0.728323699,200,5,274,1
0.254567484,0.992139738,0.737572254,200,10,240,4
0.255149725,0.99272198,0.737572254,200,14,274,4
0.256305795,0.99272198,0.736416185,200,8,309,4
0.257179157,0.993595342,0.736416185,200,10,274,4
0.257461864,0.99272198,0.735260116,200,13,206,4
0.258326813,0.992430859,0.734104046,200,6,309,4
0.258909054,0.9930131,0.734104046,200,14,240,4
0.259774003,0.99272198,0.732947977,200,9,274,4
0.259947329,0.976710335,0.716763006,200,5,309,3
0.260356244,0.993304221,0.732947977,200,10,206,4
0.260638951,0.992430859,0.731791908,200,7,309,4
0.260930072,0.99272198,0.731791908,200,11,309,4
0.261120226,0.979039301,0.717919075,200,5,206,3
0.261221193,0.9930131,0.731791908,200,13,309,4
0.2615039,0.992139738,0.730635838,200,12,274,4
0.261795021,0.992430859,0.730635838,200,8,206,4
0.261795021,0.992430859,0.730635838,200,11,206,4
0.262276296,0.979039301,0.716763006,200,5,240,3
0.262542175,0.975836972,0.713294798,200,5,274,4
0.262668383,0.993304221,0.730635838,200,13,240,4
0.26295109,0.992430859,0.729479769,200,6,274,4
0.26295109,0.992430859,0.729479769,200,7,240,4
0.26295109,0.992430859,0.729479769,200,7,274,4
0.263250625,0.993886463,0.730635838,200,14,309,4
0.263824452,0.993304221,0.729479769,200,9,309,4
0.263824452,0.993304221,0.729479769,200,10,309,4
0.264107159,0.992430859,0.728323699,200,12,309,4
0.26513702,0.97496361,0.70982659,200,5,274,3
0.265263229,0.992430859,0.72716763,200,8,274,4
0.26555435,0.99272198,0.72716763,200,14,206,4
0.26584547,0.9930131,0.72716763,200,13,274,4
0.266419298,0.992430859,0.726011561,200,6,240,4
0.266710419,0.99272198,0.726011561,200,9,240,4
0.266984712,0.990684134,0.723699422,200,13,240,5
0.267292661,0.993304221,0.726011561,200,12,240,4
0.26774028,0.975254731,0.707514451,200,5,206,4
0.267866488,0.99272198,0.724855491,200,11,274,4
0.268714609,0.990101892,0.721387283,200,6,274,5
0.269212712,0.979039301,0.70982659,200,5,240,4
0.271035162,0.991266376,0.720231214,200,10,206,5
0.271035162,0.991266376,0.720231214,200,11,206,5
0.271608989,0.990684134,0.719075145,200,6,309,5
0.272191231,0.991266376,0.719075145,200,13,274,5
0.272423455,0.983406114,0.710982659,200,7,240,6
0.272706161,0.982532751,0.70982659,200,12,206,6
0.273005696,0.983988355,0.710982659,200,13,240,6
0.27305618,0.990975255,0.717919075,200,7,206,5
0.2733473,0.991266376,0.717919075,200,6,240,5
0.2733473,0.991266376,0.717919075,200,7,274,5
0.2733473,0.991266376,0.717919075,200,8,309,5
0.2733473,0.991266376,0.717919075,200,14,206,5
0.273579524,0.983406114,0.70982659,200,11,240,6
0.273862231,0.982532751,0.70867052,200,10,274,6
0.273912714,0.989519651,0.715606936,200,14,309,5
0.273921128,0.990684134,0.716763006,200,6,206,5
0.274161766,0.983988355,0.70982659,200,11,274,6
0.274444472,0.983114993,0.70867052,200,11,309,6
0.27450337,0.991266376,0.716763006,200,8,274,5
0.274744007,0.984570597,0.70982659,200,12,274,6
0.274744007,0.984570597,0.70982659,200,13,274,6
0.275026714,0.983697234,0.70867052,200,9,309,6
0.275077197,0.990684134,0.715606936,200,10,309,5
0.275077197,0.990684134,0.715606936,200,12,274,5
0.275317835,0.983988355,0.70867052,200,8,240,6
0.275317835,0.983988355,0.70867052,200,10,309,6
0.275368318,0.990975255,0.715606936,200,13,309,5
0.275592128,0.981950509,0.706358382,200,6,240,6
0.275608956,0.984279476,0.70867052,200,7,309,6
0.275659439,0.991266376,0.715606936,200,8,206,5
0.275659439,0.991266376,0.715606936,200,9,240,5
