overfitting,train_accuracy,test_accuracy,n_estimators,max_depth,max_features,min_samples_leaf
0.028080895747590984,0.2745094671761624,0.24642857142857144,200,5,1,1
0.026706996606716465,0.27323859001330986,0.2465315934065934,200,5,1,2
0.025797179238691043,0.2742175089090207,0.24842032967032965,200,5,1,3
0.03271891208272215,0.2839551758189859,0.25123626373626373,200,5,3,1
0.032615890104700174,0.2839551758189859,0.2513392857142857,200,5,3,2
0.03249570885513953,0.28400669786612853,0.251510989010989,200,5,3,3
0.03397282164831866,0.28617062384612085,0.2521978021978022,200,5,4,1
0.03354352286007761,0.28598170967326436,0.25243818681318675,200,5,4,2
0.034711223231064625,0.28653127817611956,0.25182005494505494,200,5,4,3
0.03393887908171861,0.28802541754325706,0.25408653846153845,200,5,6,1
0.03352671007666502,0.28764758919754413,0.2541208791208791,200,5,6,2
0.034951983822926413,0.2882830277789704,0.253331043956044,200,5,6,3
0.033243523119575014,0.2882229187239706,0.2549793956043956,200,5,8,1
0.03333798020600326,0.28831737581039885,0.2549793956043956,200,5,8,2
0.03286571689012546,0.2879481344725431,0.2550824175824176,200,5,8,3
0.0339820352836378,0.289098793525396,0.2551167582417582,200,5,9,1
0.033758839428143006,0.28918466360396716,0.25542582417582416,200,5,9,2
0.03352690912303535,0.28857498604611226,0.2550480769230769,200,5,9,3
0.04188197930295201,0.296517968313941,0.254635989010989,200,6,1,1
0.04346192239987057,0.29778884547679363,0.25432692307692306,200,6,1,2
0.0408773141278454,0.29558198445751577,0.25470467032967037,200,6,1,3
0.04878656024753231,0.30634150530247733,0.25755494505494503,200,6,3,1
0.04815118064280832,0.3059808509724786,0.2578296703296703,200,6,3,2
0.04797972799708983,0.3071486840410459,0.25916895604395607,200,6,3,3
0.04897585039686597,0.3082821690781847,0.2593063186813187,200,6,4,1
0.04869250125384478,0.3081018419131854,0.2594093406593406,200,6,4,2
0.048366224443625594,0.30791292774032886,0.25954670329670326,200,6,4,3
0.0483149383032922,0.30896054269889656,0.26064560439560436,200,6,6,1
0.04871846132378632,0.3090549997853248,0.2603365384615385,200,6,6,2
0.047851173530218005,0.3081877119917565,0.2603365384615385,200,6,6,3
0.046726599872799035,0.3085741273453265,0.2618475274725275,200,6,8,1
0.047757026071476916,0.3095358722253231,0.26177884615384617,200,6,8,2
